
Non-selected data

  cod  gap   e0   1    2    3    4    5    6    7    8    9   10  sti
  92    0    0    1    1    1    1    1    1    1    1    1    1   10 
  93    0    0    1    1    1    1    1    1    1    1    1    1   10 
  94    1    0    1    1    1    1    1    1    1    1    1    0    9 
  95    0    0    1    1    1    1    1    1    1    1    1    1   10 
  96    0    0    1    1    1    1    1    1    1    1    1    1   10 
  97    1    0    1    1    1    0    0    0    0    0    0    0    3 
  98    1    0    0    1    1    1    1    1    1    1    1    1    9 
  99    1    0    0    0    0    0    0    0    1    1    1    1    4 
 100    2    0    0    0    0    0    0    0    1    1    1    0    3 
 101    1    0    0    0    0    0    0    0    1    1    1    1    4 
 102    1    0    0    0    0    0    0    0    1    1    1    1    4 
 103    1    0    0    0    0    0    0    0    0    1    1    1    3 
 104    1    0    0    0    0    0    0    0    0    1    1    1    3 
 105    1    0    1    1    1    1    1    1    1    1    1    0    9 
